   1 a5-b6=d7             2 f6-g5=e6        
   3 d7=d6-c5             4 e6=d7-c6        
   5 d6-c6!               6 f4=d5-d6        
   7 b5-c5                8 d7-e6           
   9 c5-c6=d7            10 g2-g3=e4        
  11 a2-b3=d4            12 e4-d5=c4        
  13 a3-a4=b5            14 f7-g6=e5        
  15 d7=e6!-e5!          16 f5-g4=e5!       
  17 d4=e4!-e5!          18 c4=e3-e4!       
  19 e5-e6=g5    
